n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

20.0000000000        14654.2950973426     	 15120.6459854454    	 0.7697369146         0.8010594122         -0.0313224975        0.1294972680         -0.0668522729        0.0668522729        
21.0000000000        28602.2553090120     	 24465.2052044506    	 0.8631991269         0.7075971999         0.1556019271         -0.0574271566        0.0574271566         0.2537766975        
22.0000000000        55889.2885883251     	 39584.7020208011    	 0.9545416166         0.6162547102         0.3382869064         -0.2401121360        0.2401121360         0.4364616768        
23.0000000000        109321.6051171556    	 64048.0478696561    	 1.0408326936         0.5299636332         0.5108690605         -0.4126942900        0.4126942900         0.6090438309        
24.0000000000        214039.6797107178    	 103629.7414531037   	 1.1198997302         0.4508965966         0.6690031336         -0.5708283632        0.5708283632         0.7671779040        
25.0000000000        419430.4000000000    	 167672.9216711217   	 1.1904939341         0.3803023927         0.8101915414         -0.7120167710        0.7120167710         0.9083663118        
26.0000000000        822570.6900746259    	 271294.7872638750   	 1.2522171041         0.3185792227         0.9336378813         -0.8354631109        0.8354631109         1.0318126517        
27.0000000000        1614388.3623087495   	 438954.9657929498   	 1.3053128415         0.2654834853         1.0398293562         -0.9416545857        0.9416545857         1.1380041266        
28.0000000000        3170595.8020009873   	 710229.1346529928   	 1.3504291948         0.2203671320         1.1300620628         -1.0318872924        1.0318872924         1.2282368332        
29.0000000000        6230901.5975788906   	 1149150.7398685426  	 1.3884179956         0.1823783312         1.2060396643         -1.1078648939        1.1078648939         1.3042144347        
30.0000000000        12252346.2071154560  	 1859325.8971073017  	 1.4201927470         0.1506035798         1.2695891672         -1.1714143968        1.1714143968         1.3677639376        
31.0000000000        24106215.5747875240  	 3008389.3015196146  	 1.4466409725         0.1241553543         1.3224856182         -1.2243108478        1.2243108478         1.4206603886        
32.0000000000        47453132.8121257720  	 4867573.8898587367  	 1.4685773901         0.1022189367         1.3663584535         -1.2681836830        1.2681836830         1.4645332239        
33.0000000000        93457229.9117577370  	 7875734.5537914364  	 1.4867239639         0.0840723629         1.4026516010         -1.3044768306        1.3044768306         1.5008263714        
34.0000000000        184145203.6243367200 	 12742938.5080345460 	 1.5017059798         0.0690903470         1.4326156328         -1.3344408624        1.3344408624         1.5307904032        
35.0000000000        362990988.4134231800 	 20618074.5059998970 	 1.5140567805         0.0567395463         1.4573172343         -1.3591424639        1.3591424639         1.5554920047        
36.0000000000        715827882.6666666300 	 33360044.5507078360 	 1.5242265781         0.0465697487         1.4776568293         -1.3794820589        1.3794820589         1.5758315998        
37.0000000000        1412176547.9440575000 	 53976552.0830452810 	 1.5325926831         0.0382036436         1.4943890395         -1.3962142691        1.3962142691         1.5925638099        
38.0000000000        2786942793.8690739000 	 87334061.2703672800 	 1.5394697093         0.0313266175         1.5081430919         -1.4099683215        1.4099683215         1.6063178623        
39.0000000000        5501961470.0936575000 	 141306511.1354542700	 1.5451190379         0.0256772889         1.5194417490         -1.4212669786        1.4212669786         1.6176165194        
40.0000000000        10865503305.0356730000 	 228633935.0171650400	 1.5497572462         0.0210390806         1.5287181656         -1.4305433952        1.4305433952         1.6268929361        
41.0000000000        21464358393.7553370000 	 369929706.8577730100	 1.5535634294         0.0172328974         1.5363305319         -1.4381557615        1.4381557615         1.6345053024        
42.0000000000        42414581872.0273670000 	 598546265.6958768400	 1.5566854594         0.0141108673         1.5425745921         -1.4443998217        1.4443998217         1.6407493625        
43.0000000000        83836975649.9574890000 	 968447857.8959288600	 1.5592452805         0.0115510463         1.5476942342         -1.4495194638        1.4495194638         1.6458690047        
44.0000000000        165757614634.8136600000 	 1566948634.0756130000	 1.5613433556         0.0094529712         1.5518903844         -1.4537156139        1.4537156139         1.6500651548        
45.0000000000        327811032234.4776000000 	 2535322889.9343419000	 1.5630623823         0.0077339445         1.5553284377         -1.4571536673        1.4571536673         1.6535032082        
46.0000000000        648456580857.3942900000 	 4102152435.9137654000	 1.5644703863         0.0063259405         1.5581444459         -1.4599696755        1.4599696755         1.6563192163        
47.0000000000        1283042033899.0596000000 	 6637282641.3084736000	 1.5656232902         0.0051730366         1.5604502535         -1.4622754831        1.4622754831         1.6586250240        
48.0000000000        2539213337094.3892000000 	 10739123313.6371100000	 1.5665670408         0.0042292859         1.5623377549         -1.4641629845        1.4641629845         1.6605125253        
49.0000000000        5026338869833.1426000000 	 17375901521.4648440000	 1.5673393708         0.0034569560         1.5638824148         -1.4657076444        1.4657076444         1.6620571852        
50.0000000000        9951643238321.5195000000 	 28114208661.7301250000	 1.5679712523         0.0028250745         1.5651461777         -1.4669714073        1.4669714073         1.6633209482        
