n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

20.700               23399.994            	 21176.555           	 0.835                0.736                0.100                -0.002               0.002                0.198               
20.800               25019.133            	 22220.466           	 0.845                0.726                0.118                -0.020               0.020                0.217               
20.900               26750.616            	 23315.837           	 0.854                0.717                0.137                -0.039               0.039                0.235               
21.000               28602.255            	 24465.205           	 0.863                0.708                0.156                -0.057               0.057                0.254               
21.100               30582.409            	 25671.232           	 0.872                0.698                0.174                -0.076               0.076                0.272               
21.200               32700.018            	 26936.711           	 0.882                0.689                0.193                -0.095               0.095                0.291               
21.300               34964.645            	 28264.572           	 0.891                0.680                0.211                -0.113               0.113                0.309               
21.400               37386.520            	 29657.891           	 0.900                0.671                0.230                -0.131               0.131                0.328               
21.500               39976.585            	 31119.895           	 0.909                0.661                0.248                -0.150               0.150                0.346               
21.600               42746.548            	 32653.969           	 0.918                0.652                0.266                -0.168               0.168                0.364               
21.700               45708.930            	 34263.666           	 0.928                0.643                0.284                -0.186               0.186                0.382               
21.800               48877.128            	 35952.714           	 0.937                0.634                0.302                -0.204               0.204                0.401               
21.900               52265.471            	 37725.024           	 0.946                0.625                0.320                -0.222               0.222                0.419               
22.000               55889.289            	 39584.702           	 0.955                0.616                0.338                -0.240               0.240                0.436               
22.100               59764.981            	 41536.054           	 0.963                0.607                0.356                -0.258               0.258                0.454               
22.200               63910.091            	 43583.598           	 0.972                0.599                0.374                -0.276               0.276                0.472               
22.300               68343.386            	 45732.078           	 0.981                0.590                0.391                -0.293               0.293                0.490               
22.400               73084.943            	 47986.468           	 0.990                0.581                0.409                -0.311               0.311                0.507               
22.500               78156.241            	 50351.990           	 0.998                0.572                0.426                -0.328               0.328                0.524               
22.600               83580.257            	 52834.121           	 1.007                0.564                0.443                -0.345               0.345                0.542               
22.700               89381.572            	 55438.611           	 1.016                0.555                0.460                -0.362               0.362                0.559               
22.800               95586.486            	 58171.491           	 1.024                0.547                0.477                -0.379               0.379                0.576               
22.900               102223.131           	 61039.089           	 1.032                0.538                0.494                -0.396               0.396                0.592               
23.000               109321.605           	 64048.048           	 1.041                0.530                0.511                -0.413               0.413                0.609               
23.100               116914.110           	 67205.335           	 1.049                0.522                0.527                -0.429               0.429                0.626               
23.200               125035.094           	 70518.262           	 1.057                0.514                0.544                -0.446               0.446                0.642               
23.300               133721.413           	 73994.502           	 1.065                0.505                0.560                -0.462               0.462                0.658               
23.400               143012.496           	 77642.106           	 1.073                0.497                0.576                -0.478               0.478                0.674               
23.500               152950.529           	 81469.520           	 1.081                0.489                0.592                -0.494               0.494                0.690               
23.600               163580.644           	 85485.609           	 1.089                0.482                0.608                -0.510               0.510                0.706               
23.700               174951.126           	 89699.673           	 1.097                0.474                0.623                -0.525               0.525                0.721               
23.800               187113.635           	 94121.472           	 1.105                0.466                0.639                -0.541               0.541                0.737               
23.900               200123.442           	 98761.247           	 1.112                0.458                0.654                -0.556               0.556                0.752               
24.000               214039.680           	 103629.741          	 1.120                0.451                0.669                -0.571               0.571                0.767               
24.100               228925.616           	 108738.232          	 1.127                0.443                0.684                -0.586               0.586                0.782               
24.200               244848.941           	 114098.548          	 1.135                0.436                0.699                -0.600               0.600                0.797               
24.300               261882.076           	 119723.104          	 1.142                0.429                0.713                -0.615               0.615                0.811               
24.400               280102.509           	 125624.927          	 1.149                0.422                0.728                -0.629               0.629                0.826               
24.500               299593.143           	 131817.683          	 1.156                0.414                0.742                -0.644               0.644                0.840               
24.600               320442.681           	 138315.715          	 1.163                0.407                0.756                -0.658               0.658                0.854               
24.700               342746.030           	 145134.071          	 1.170                0.401                0.770                -0.672               0.672                0.868               
24.800               366604.735           	 152288.542          	 1.177                0.394                0.783                -0.685               0.685                0.882               
24.900               392127.442           	 159795.697          	 1.184                0.387                0.797                -0.699               0.699                0.895               
25.000               419430.400           	 167672.922          	 1.190                0.380                0.810                -0.712               0.712                0.908               
25.100               448637.992           	 175938.459          	 1.197                0.374                0.823                -0.725               0.725                0.922               
25.200               479883.301           	 184611.451          	 1.204                0.367                0.836                -0.738               0.738                0.934               
25.300               513308.726           	 193711.983          	 1.210                0.361                0.849                -0.751               0.751                0.947               
25.400               549066.629           	 203261.131          	 1.216                0.355                0.862                -0.764               0.764                0.960               
25.500               587320.036           	 213281.011          	 1.222                0.348                0.874                -0.776               0.776                0.972               
25.600               628243.384           	 223794.826          	 1.229                0.342                0.886                -0.788               0.788                0.985               
25.700               672023.321           	 234826.927          	 1.235                0.336                0.898                -0.800               0.800                0.997               
25.800               718859.560           	 246402.861          	 1.241                0.330                0.910                -0.812               0.812                1.009               
25.900               768965.797           	 258549.438          	 1.246                0.324                0.922                -0.824               0.824                1.020               
26.000               822570.690           	 271294.787          	 1.252                0.319                0.934                -0.835               0.835                1.032               
26.100               879918.909           	 284668.427          	 1.258                0.313                0.945                -0.847               0.847                1.043               
26.200               941272.256           	 298701.327          	 1.264                0.307                0.956                -0.858               0.858                1.054               
26.300               1006910.870          	 313425.989          	 1.269                0.302                0.967                -0.869               0.869                1.065               
26.400               1077134.508          	 328876.511          	 1.274                0.296                0.978                -0.880               0.880                1.076               
26.500               1152263.926          	 345088.676          	 1.280                0.291                0.989                -0.891               0.891                1.087               
26.600               1232642.347          	 362100.029          	 1.285                0.286                0.999                -0.901               0.901                1.098               
26.700               1318637.040          	 379949.967          	 1.290                0.281                1.010                -0.912               0.912                1.108               
26.800               1410641.006          	 398679.829          	 1.295                0.275                1.020                -0.922               0.922                1.118               
26.900               1509074.778          	 418332.990          	 1.300                0.270                1.030                -0.932               0.932                1.128               
27.000               1614388.362          	 438954.966          	 1.305                0.265                1.040                -0.942               0.942                1.138               
27.100               1727063.295          	 460593.514          	 1.310                0.261                1.050                -0.951               0.951                1.148               
27.200               1847614.864          	 483298.748          	 1.315                0.256                1.059                -0.961               0.961                1.157               
27.300               1976594.468          	 507123.250          	 1.320                0.251                1.069                -0.970               0.970                1.167               
