n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

30.000000 12252346.207115 	 1859325.897107	 1.420193 0.150604 1.269589 -1.171414 1.171414 1.367764
30.500000 17184819.124802 	 2365074.234965	 1.434030 0.136767 1.297263 -1.199088 1.199088 1.395438
31.000000 24106215.574788 	 3008389.301520	 1.446641 0.124155 1.322486 -1.224311 1.224311 1.420660
31.500000 33819688.554677 	 3826690.112174	 1.458126 0.112671 1.345455 -1.247280 1.247280 1.443630
32.000000 47453132.812126 	 4867573.889859	 1.468577 0.102219 1.366358 -1.268184 1.268184 1.464533
32.500000 66590641.078586 	 6191584.601497	 1.478083 0.092713 1.385370 -1.287195 1.287195 1.483545
33.000000 93457229.911758 	 7875734.553791	 1.486724 0.084072 1.402652 -1.304477 1.304477 1.500826
33.500000 131178442.020206 	 10017983.885222	 1.494575 0.076221 1.418354 -1.320179 1.320179 1.516529
34.000000 184145203.624337 	 12742938.508035	 1.501706 0.069090 1.432616 -1.334441 1.334441 1.530790
34.500000 258526650.952220 	 16209097.926289	 1.508180 0.062616 1.445564 -1.347390 1.347390 1.543739
35.000000 362990988.413423 	 20618074.506000	 1.514057 0.056740 1.457317 -1.359142 1.359142 1.555492
35.500000 509718840.943525 	 26226320.444736	 1.519389 0.051407 1.467982 -1.369807 1.369807 1.566157
36.000000 715827882.666667 	 33360044.550708	 1.524227 0.046570 1.477657 -1.379482 1.379482 1.575832
36.500000 1005375798.987406 	 42434186.479583	 1.528614 0.042182 1.486432 -1.388257 1.388257 1.584607
37.000000 1412176547.944058 	 53976552.083045	 1.532593 0.038204 1.494389 -1.396214 1.396214 1.592564
37.500000 1983760419.604991 	 68658513.723965	 1.536200 0.034596 1.501603 -1.403429 1.403429 1.599778
38.000000 2786942793.869074 	 87334061.270367	 1.539470 0.031327 1.508143 -1.409968 1.409968 1.606318
38.500000 3915655591.419620 	 111089475.205375	 1.542433 0.028363 1.514070 -1.415896 1.415896 1.612245
39.000000 5501961470.093658 	 141306511.135454	 1.545119 0.025677 1.519442 -1.421267 1.421267 1.617617
39.500000 7731545183.364098 	 179742770.882296	 1.547553 0.023244 1.524309 -1.426134 1.426134 1.622484
40.000000 10865503305.035673 	 228633935.017165	 1.549757 0.021039 1.528718 -1.430543 1.430543 1.626893
40.500000 15270994830.222221 	 290823803.287556	 1.551754 0.019042 1.532713 -1.434538 1.434538 1.630887
41.000000 21464358393.755337 	 369929706.857773	 1.553563 0.017233 1.536331 -1.438156 1.438156 1.634505
41.500000 30171770043.223125 	 470552913.719265	 1.555202 0.015595 1.539607 -1.441432 1.441432 1.637782
42.000000 42414581872.027367 	 598546265.695876	 1.556685 0.014111 1.542575 -1.444400 1.444400 1.640749
42.500000 59629390197.595886 	 761354614.397771	 1.558029 0.012767 1.545261 -1.447087 1.447087 1.643436
43.000000 83836975649.957489 	 968447857.895928	 1.559245 0.011551 1.547694 -1.449519 1.449519 1.645869
43.500000 117880019833.855730 	 1231871766.095593	 1.560346 0.010450 1.549897 -1.451722 1.451722 1.648071
44.000000 165757614634.813660 	 1566948634.075611	 1.561343 0.009453 1.551890 -1.453716 1.453716 1.650065
44.500000 233095998896.980410 	 1993168517.542670	 1.562246 0.008551 1.553695 -1.455520 1.455520 1.651870
45.000000 327811032234.477600 	 2535322889.934340	 1.563062 0.007734 1.555328 -1.457154 1.457154 1.653503
45.500000 461040546878.805910 	 3224946661.384040	 1.563802 0.006995 1.556807 -1.458632 1.458632 1.654981
46.000000 648456580857.394290 	 4102152435.913762	 1.564470 0.006326 1.558144 -1.459970 1.459970 1.656319
46.500000 912112356638.505370 	 5217963698.119378	 1.565076 0.005721 1.559355 -1.461180 1.461180 1.657530
47.000000 1283042033899.059600 	 6637282641.308467	 1.565623 0.005173 1.560450 -1.462275 1.462275 1.658625
47.500000 1804920204742.537400 	 8442665263.557154	 1.566119 0.004678 1.561441 -1.463266 1.463266 1.659616
