n,      F(n),      G(n),      ATg_FG,      ATg_GF,      pi,      Delta,      Theta,      O_large 

100.0000000000       7922816251426434200000000000.0000000000 	 790408728675301060000.0000000000	 1.5707962270         0.0000000998         1.5707961273         -1.4398964334        1.4398964334         1.7016958212        
100.1000000000       8487221656374489100000000000.0000000000 	 829372401169397580000.0000000000	 1.5707962291         0.0000000977         1.5707961314         -1.4398964375        1.4398964375         1.7016958253        
100.2000000000       9091838697638713500000000000.0000000000 	 870256811275758340000.0000000000	 1.5707962311         0.0000000957         1.5707961354         -1.4398964415        1.4398964415         1.7016958293        
100.3000000000       9739532607559984300000000000.0000000000 	 913156642907344990000.0000000000	 1.5707962330         0.0000000938         1.5707961393         -1.4398964454        1.4398964454         1.7016958332        
100.4000000000       10433372798875464000000000000.0000000000 	 958171247477417050000.0000000000	 1.5707962350         0.0000000918         1.5707961431         -1.4398964492        1.4398964492         1.7016958370        
100.5000000000       11176647416393558000000000000.0000000000 	 1005404873986757200000.0000000000	 1.5707962368         0.0000000900         1.5707961469         -1.4398964530        1.4398964530         1.7016958408        
100.6000000000       11972878925851914000000000000.0000000000 	 1054966910453187600000.0000000000	 1.5707962387         0.0000000881         1.5707961506         -1.4398964567        1.4398964567         1.7016958445        
100.7000000000       12825840813891607000000000000.0000000000 	 1106972137242496900000.0000000000	 1.5707962405         0.0000000863         1.5707961542         -1.4398964603        1.4398964603         1.7016958481        
100.8000000000       13739575478351604000000000000.0000000000 	 1161540992887469200000.0000000000	 1.5707962423         0.0000000845         1.5707961577         -1.4398964638        1.4398964638         1.7016958516        
100.9000000000       14718413393733821000000000000.0000000000 	 1218799853010620800000.0000000000	 1.5707962440         0.0000000828         1.5707961612         -1.4398964673        1.4398964673         1.7016958551        
101.0000000000       15766993642738177000000000000.0000000000 	 1278881322996599600000.0000000000	 1.5707962457         0.0000000811         1.5707961646         -1.4398964707        1.4398964707         1.7016958585        
101.1000000000       16890285911247425000000000000.0000000000 	 1341924545092048700000.0000000000	 1.5707962473         0.0000000794         1.5707961679         -1.4398964740        1.4398964740         1.7016958618        
101.2000000000       18093614051083700000000000000.0000000000 	 1408075520644138700000.0000000000	 1.5707962490         0.0000000778         1.5707961712         -1.4398964773        1.4398964773         1.7016958651        
101.3000000000       19382681322296195000000000000.0000000000 	 1477487448224043900000.0000000000	 1.5707962506         0.0000000762         1.5707961743         -1.4398964804        1.4398964804         1.7016958682        
101.4000000000       20763597434706744000000000000.0000000000 	 1550321078418418400000.0000000000	 1.5707962521         0.0000000747         1.5707961775         -1.4398964836        1.4398964836         1.7016958714        
101.5000000000       22242907516975931000000000000.0000000000 	 1626745086110529000000.0000000000	 1.5707962537         0.0000000731         1.5707961805         -1.4398964866        1.4398964866         1.7016958744        
101.6000000000       23827623150596359000000000000.0000000000 	 1706936461113211000000.0000000000	 1.5707962552         0.0000000716         1.5707961835         -1.4398964896        1.4398964896         1.7016958774        
101.7000000000       25525255616016082000000000000.0000000000 	 1791080918058311100000.0000000000	 1.5707962566         0.0000000702         1.5707961865         -1.4398964926        1.4398964926         1.7016958804        
101.8000000000       27343851508589736000000000000.0000000000 	 1879373326491874000000.0000000000	 1.5707962581         0.0000000687         1.5707961893         -1.4398964954        1.4398964954         1.7016958832        
101.9000000000       29292030893297893000000000000.0000000000 	 1972018162171130400000.0000000000	 1.5707962595         0.0000000673         1.5707961921         -1.4398964982        1.4398964982         1.7016958860        
102.0000000000       31379028179219739000000000000.0000000000 	 2069229980608441600000.0000000000	 1.5707962609         0.0000000659         1.5707961949         -1.4398965010        1.4398965010         1.7016958888        
102.1000000000       33614735907647503000000000000.0000000000 	 2171233913958875500000.0000000000	 1.5707962622         0.0000000646         1.5707961976         -1.4398965037        1.4398965037         1.7016958915        
102.2000000000       36009751661554402000000000000.0000000000 	 2278266192402154000000.0000000000	 1.5707962635         0.0000000633         1.5707962003         -1.4398965064        1.4398965064         1.7016958942        
102.3000000000       38575428318937047000000000000.0000000000 	 2390574691226438100000.0000000000	 1.5707962648         0.0000000620         1.5707962029         -1.4398965090        1.4398965090         1.7016958968        
102.4000000000       41323927888417920000000000000.0000000000 	 2508419504880932600000.0000000000	 1.5707962661         0.0000000607         1.5707962054         -1.4398965115        1.4398965115         1.7016958993        
102.5000000000       44268279182489949000000000000.0000000000 	 2632073549326763700000.0000000000	 1.5707962673         0.0000000595         1.5707962079         -1.4398965140        1.4398965140         1.7016959018        
102.6000000000       47422439601993029000000000000.0000000000 	 2761823194081100000000.0000000000	 1.5707962686         0.0000000582         1.5707962103         -1.4398965164        1.4398965164         1.7016959042        
102.7000000000       50801361324918868000000000000.0000000000 	 2897968925418268400000.0000000000	 1.5707962697         0.0000000570         1.5707962127         -1.4398965188        1.4398965188         1.7016959066        
102.8000000000       54421062213537361000000000000.0000000000 	 3040826042263768900000.0000000000	 1.5707962709         0.0000000559         1.5707962150         -1.4398965211        1.4398965211         1.7016959089        
102.9000000000       58298701776225618000000000000.0000000000 	 3190725386392802200000.0000000000	 1.5707962721         0.0000000547         1.5707962173         -1.4398965234        1.4398965234         1.7016959112        
103.0000000000       62452662544363387000000000000.0000000000 	 3348014108624367400000.0000000000	 1.5707962732         0.0000000536         1.5707962196         -1.4398965257        1.4398965257         1.7016959135        
103.1000000000       66902637250353544000000000000.0000000000 	 3513056472785364700000.0000000000	 1.5707962743         0.0000000525         1.5707962218         -1.4398965279        1.4398965279         1.7016959157        
103.2000000000       71669722220350986000000000000.0000000000 	 3686234699306585000000.0000000000	 1.5707962754         0.0000000514         1.5707962239         -1.4398965300        1.4398965300         1.7016959178        
103.3000000000       76776517424772741000000000000.0000000000 	 3867949850404270900000.0000000000	 1.5707962764         0.0000000504         1.5707962260         -1.4398965321        1.4398965321         1.7016959199        
103.4000000000       82247233661252954000000000000.0000000000 	 4058622758897238100000.0000000000	 1.5707962774         0.0000000493         1.5707962281         -1.4398965342        1.4398965342         1.7016959220        
103.5000000000       88107807378550727000000000000.0000000000 	 4258695002810588100000.0000000000	 1.5707962785         0.0000000483         1.5707962301         -1.4398965362        1.4398965362         1.7016959240        
103.6000000000       94386023686175756000000000000.0000000000 	 4468629928023097900000.0000000000	 1.5707962795         0.0000000473         1.5707962321         -1.4398965382        1.4398965382         1.7016959260        
103.7000000000       101111648133339920000000000000.0000000000 	 4688913721326630300000.0000000000	 1.5707962804         0.0000000464         1.5707962340         -1.4398965401        1.4398965401         1.7016959279        
103.8000000000       108316567882455170000000000000.0000000000 	 4920056536382643900000.0000000000	 1.5707962814         0.0000000454         1.5707962359         -1.4398965420        1.4398965420         1.7016959298        
103.9000000000       116034942946978100000000000000.0000000000 	 5162593675183412700000.0000000000	 1.5707962823         0.0000000445         1.5707962378         -1.4398965439        1.4398965439         1.7016959317        
104.0000000000       124303368211160300000000000000.0000000000 	 5417086827754078300000.0000000000	 1.5707962832         0.0000000436         1.5707962396         -1.4398965457        1.4398965457         1.7016959335        
104.1000000000       133161047000428610000000000000.0000000000 	 5684125372966565300000.0000000000	 1.5707962841         0.0000000427         1.5707962414         -1.4398965475        1.4398965475         1.7016959353        
104.2000000000       142649977025931170000000000000.0000000000 	 5964327743477891700000.0000000000	 1.5707962850         0.0000000418         1.5707962432         -1.4398965493        1.4398965493         1.7016959371        
104.3000000000       152815149585508480000000000000.0000000000 	 6258342857953939300000.0000000000	 1.5707962858         0.0000000410         1.5707962449         -1.4398965510        1.4398965510         1.7016959388        
104.4000000000       163704762966256430000000000000.0000000000 	 6566851623895552800000.0000000000	 1.5707962867         0.0000000401         1.5707962466         -1.4398965527        1.4398965527         1.7016959405        
104.5000000000       175370451061244600000000000000.0000000000 	 6890568514547343200000.0000000000	 1.5707962875         0.0000000393         1.5707962482         -1.4398965543        1.4398965543         1.7016959421        
104.6000000000       187867528285153750000000000000.0000000000 	 7230243223541175500000.0000000000	 1.5707962883         0.0000000385         1.5707962498         -1.4398965559        1.4398965559         1.7016959437        
104.7000000000       201255251950947080000000000000.0000000000 	 7586662401106280200000.0000000000	 1.5707962891         0.0000000377         1.5707962514         -1.4398965575        1.4398965575         1.7016959453        
104.8000000000       215597103352555570000000000000.0000000000 	 7960651475866901000000.0000000000	 1.5707962899         0.0000000369         1.5707962529         -1.4398965590        1.4398965590         1.7016959468        
104.9000000000       230961088887333720000000000000.0000000000 	 8353076566446533800000.0000000000	 1.5707962906         0.0000000362         1.5707962545         -1.4398965606        1.4398965606         1.7016959484        
105.0000000000       247420062647147800000000000000.0000000000 	 8764846487305859400000.0000000000	 1.5707962914         0.0000000354         1.5707962559         -1.4398965620        1.4398965620         1.7016959498        
105.1000000000       265052072008847670000000000000.0000000000 	 9196914853459651500000.0000000000	 1.5707962921         0.0000000347         1.5707962574         -1.4398965635        1.4398965635         1.7016959513        
105.2000000000       283940727864028540000000000000.0000000000 	 9650282288946964600000.0000000000	 1.5707962928         0.0000000340         1.5707962588         -1.4398965649        1.4398965649         1.7016959527        
105.3000000000       304175601244926700000000000000.0000000000 	 10125998744169198000000.0000000000	 1.5707962935         0.0000000333         1.5707962602         -1.4398965663        1.4398965663         1.7016959541        
105.4000000000       325852648228573670000000000000.0000000000 	 10625165927462713000000.0000000000	 1.5707962942         0.0000000326         1.5707962616         -1.4398965677        1.4398965677         1.7016959555        
105.5000000000       349074665135543510000000000000.0000000000 	 11148939856537297000000.0000000000	 1.5707962949         0.0000000319         1.5707962629         -1.4398965690        1.4398965690         1.7016959568        
105.6000000000       373951776183414760000000000000.0000000000 	 11698533535689302000000.0000000000	 1.5707962955         0.0000000313         1.5707962642         -1.4398965703        1.4398965703         1.7016959581        
105.7000000000       400601955909104160000000000000.0000000000 	 12275219764989628000000.0000000000	 1.5707962962         0.0000000306         1.5707962655         -1.4398965716        1.4398965716         1.7016959594        
105.8000000000       429151588839254260000000000000.0000000000 	 12880334087952294000000.0000000000	 1.5707962968         0.0000000300         1.5707962668         -1.4398965729        1.4398965729         1.7016959607        
105.9000000000       459736069064649750000000000000.0000000000 	 13515277884510123000000.0000000000	 1.5707962974         0.0000000294         1.5707962680         -1.4398965741        1.4398965741         1.7016959619        
106.0000000000       492500442564036170000000000000.0000000000 	 14181521616460495000000.0000000000	 1.5707962980         0.0000000288         1.5707962692         -1.4398965753        1.4398965753         1.7016959631        
106.1000000000       527600095325624110000000000000.0000000000 	 14880608232897310000000.0000000000	 1.5707962986         0.0000000282         1.5707962704         -1.4398965765        1.4398965765         1.7016959643        
106.2000000000       565201490531943220000000000000.0000000000 	 15614156743515763000000.0000000000	 1.5707962992         0.0000000276         1.5707962715         -1.4398965776        1.4398965776         1.7016959654        
106.3000000000       605482958306585590000000000000.0000000000 	 16383865968065316000000.0000000000	 1.5707962997         0.0000000271         1.5707962727         -1.4398965788        1.4398965788         1.7016959666        
106.4000000000       648635541770878850000000000000.0000000000 	 17191518470634201000000.0000000000	 1.5707963003         0.0000000265         1.5707962738         -1.4398965799        1.4398965799         1.7016959677        
106.5000000000       694863903425804390000000000000.0000000000 	 18038984687876854000000.0000000000	 1.5707963008         0.0000000260         1.5707962749         -1.4398965810        1.4398965810         1.7016959688        
106.6000000000       744387296160828350000000000000.0000000000 	 18928227260744776000000.0000000000	 1.5707963014         0.0000000254         1.5707962759         -1.4398965820        1.4398965820         1.7016959698        
106.7000000000       797440603498079460000000000000.0000000000 	 19861305579752676000000.0000000000	 1.5707963019         0.0000000249         1.5707962770         -1.4398965831        1.4398965831         1.7016959709        
106.8000000000       854275454008956930000000000000.0000000000 	 20840380554306243000000.0000000000	 1.5707963024         0.0000000244         1.5707962780         -1.4398965841        1.4398965841         1.7016959719        
106.9000000000       915161415192337360000000000000.0000000000 	 21867719617136782000000.0000000000	 1.5707963029         0.0000000239         1.5707962790         -1.4398965851        1.4398965851         1.7016959729        
107.0000000000       980387272480744670000000000000.0000000000 	 22945701975432452000000.0000000000	 1.5707963034         0.0000000234         1.5707962800         -1.4398965861        1.4398965861         1.7016959739        
107.1000000000       1050262399444955600000000000000.0000000000 	 24076824120827188000000.0000000000	 1.5707963039         0.0000000229         1.5707962809         -1.4398965870        1.4398965870         1.7016959748        
107.2000000000       1125118225700420900000000000000.0000000000 	 25263705611007815000000.0000000000	 1.5707963043         0.0000000225         1.5707962819         -1.4398965880        1.4398965880         1.7016959758        
107.3000000000       1205309809482694100000000000000.0000000000 	 26509095136328956000000.0000000000	 1.5707963048         0.0000000220         1.5707962828         -1.4398965889        1.4398965889         1.7016959767        
107.4000000000       1291217522355924900000000000000.0000000000 	 27815876885485380000000.0000000000	 1.5707963053         0.0000000215         1.5707962837         -1.4398965898        1.4398965898         1.7016959776        
107.5000000000       1383248854050794700000000000000.0000000000 	 29187077224983953000000.0000000000	 1.5707963057         0.0000000211         1.5707962846         -1.4398965907        1.4398965907         1.7016959785        
107.6000000000       1481840345998557100000000000000.0000000000 	 30625871707884208000000.0000000000	 1.5707963061         0.0000000207         1.5707962855         -1.4398965916        1.4398965916         1.7016959794        
107.7000000000       1587459662738785700000000000000.0000000000 	 32135592428038949000000.0000000000	 1.5707963066         0.0000000202         1.5707962863         -1.4398965924        1.4398965924         1.7016959802        
107.8000000000       1700607811032989200000000000000.0000000000 	 33719735736866582000000.0000000000	 1.5707963070         0.0000000198         1.5707962871         -1.4398965932        1.4398965932         1.7016959810        
107.9000000000       1821821517217439900000000000000.0000000000 	 35381970340526346000000.0000000000	 1.5707963074         0.0000000194         1.5707962880         -1.4398965941        1.4398965941         1.7016959819        
108.0000000000       1951675774079812500000000000000.0000000000 	 37126145796248697000000.0000000000	 1.5707963078         0.0000000190         1.5707962887         -1.4398965948        1.4398965948         1.7016959826        
108.1000000000       2090786569349032000000000000000.0000000000 	 38956301427497329000000.0000000000	 1.5707963082         0.0000000186         1.5707962895         -1.4398965956        1.4398965956         1.7016959834        
108.2000000000       2239813808749933500000000000000.0000000000 	 40876675678609529000000.0000000000	 1.5707963085         0.0000000183         1.5707962903         -1.4398965964        1.4398965964         1.7016959842        
108.3000000000       2399464447498071800000000000000.0000000000 	 42891715930579085000000.0000000000	 1.5707963089         0.0000000179         1.5707962910         -1.4398965971        1.4398965971         1.7016959849        
108.4000000000       2570495845099585200000000000000.0000000000 	 45006088800714113000000.0000000000	 1.5707963093         0.0000000175         1.5707962918         -1.4398965979        1.4398965979         1.7016959857        
108.5000000000       2753719359381222000000000000000.0000000000 	 47224690950022751000000.0000000000	 1.5707963096         0.0000000171         1.5707962925         -1.4398965986        1.4398965986         1.7016959864        
108.6000000000       2950004196811417500000000000000.0000000000 	 49552660423355295000000.0000000000	 1.5707963100         0.0000000168         1.5707962932         -1.4398965993        1.4398965993         1.7016959871        
108.7000000000       3160281537390143100000000000000.0000000000 	 51995388548565606000000.0000000000	 1.5707963103         0.0000000165         1.5707962939         -1.4398966000        1.4398966000         1.7016959878        
108.8000000000       3385548953688824400000000000000.0000000000 	 54558532422248641000000.0000000000	 1.5707963107         0.0000000161         1.5707962946         -1.4398966007        1.4398966007         1.7016959885        
108.9000000000       3626875145018245700000000000000.0000000000 	 57248028010970064000000.0000000000	 1.5707963110         0.0000000158         1.5707962952         -1.4398966013        1.4398966013         1.7016959891        
109.0000000000       3885405009198528400000000000000.0000000000 	 60070103898328754000000.0000000000	 1.5707963113         0.0000000155         1.5707962959         -1.4398966020        1.4398966020         1.7016959898        
109.1000000000       4162365076008222300000000000000.0000000000 	 63031295709688959000000.0000000000	 1.5707963117         0.0000000151         1.5707962965         -1.4398966026        1.4398966026         1.7016959904        
109.2000000000       4459069328106795700000000000000.0000000000 	 66138461247988415000000.0000000000	 1.5707963120         0.0000000148         1.5707962971         -1.4398966032        1.4398966032         1.7016959910        
109.3000000000       4776925437064559500000000000000.0000000000 	 69398796375675063000000.0000000000	 1.5707963123         0.0000000145         1.5707962977         -1.4398966038        1.4398966038         1.7016959916        
109.4000000000       5117441444105040900000000000000.0000000000 	 72819851679553454000000.0000000000	 1.5707963126         0.0000000142         1.5707962983         -1.4398966044        1.4398966044         1.7016959922        
109.5000000000       5482232917276416500000000000000.0000000000 	 76409549957134721000000.0000000000	 1.5707963129         0.0000000139         1.5707962989         -1.4398966050        1.4398966050         1.7016959928        
109.6000000000       5873030619030731100000000000000.0000000000 	 80176204564986692000000.0000000000	 1.5707963131         0.0000000137         1.5707962995         -1.4398966056        1.4398966056         1.7016959934        
109.7000000000       6291688720613301700000000000000.0000000000 	 84128538671576846000000.0000000000	 1.5707963134         0.0000000134         1.5707963001         -1.4398966062        1.4398966062         1.7016959940        
109.8000000000       6740193602260982600000000000000.0000000000 	 88275705459195890000000.0000000000	 1.5707963137         0.0000000131         1.5707963006         -1.4398966067        1.4398966067         1.7016959945        
109.9000000000       7220673280989737100000000000000.0000000000 	 92627309321747039000000.0000000000	 1.5707963140         0.0000000128         1.5707963011         -1.4398966072        1.4398966072         1.7016959950        
110.0000000000       7735407510731927600000000000000.0000000000 	 97193428107493269000000.0000000000	 1.5707963142         0.0000000126         1.5707963017         -1.4398966078        1.4398966078         1.7016959956        
110.1000000000       8286838602776392400000000000000.0000000000 	 101984636458273960000000.0000000000	 1.5707963145         0.0000000123         1.5707963022         -1.4398966083        1.4398966083         1.7016959961        
110.2000000000       8877583017884736700000000000000.0000000000 	 107012030299242340000000.0000000000	 1.5707963147         0.0000000121         1.5707963027         -1.4398966088        1.4398966088         1.7016959966        
110.3000000000       9510443785121613400000000000000.0000000000 	 112287252535839190000000.0000000000	 1.5707963150         0.0000000118         1.5707963032         -1.4398966093        1.4398966093         1.7016959971        
110.4000000000       10188423806362507000000000000000.0000000000 	 117822520017514270000000.0000000000	 1.5707963152         0.0000000116         1.5707963037         -1.4398966098        1.4398966098         1.7016959976        
110.5000000000       10914740109648322000000000000000.0000000000 	 123630651830640610000000.0000000000	 1.5707963155         0.0000000113         1.5707963041         -1.4398966102        1.4398966102         1.7016959980        
